

0 0 4853 2
1 0 41,297,592,1305,1357,1904,2271,3096,3452,3749,4103,4250,4649,4746 10,8,0,5,2,1,5,2,3,0,3,9,6,2
2 0 10,339,435,1805,3416,4234,4892 3,8,2,5,1,3,5
3 0 1089,2468,2731,2987,3234,3563,3966,3993,4572 10,6,8,3,7,3,7,5,0
4 1 117,419,719,787,882,1840,2176,2408,2624,2802,2913,3174,3452,3734,3929,3945,4570 8,0,8,5,2,2,9,0,5,8,8,3,3,2,10,0,0
5 0 839,1373,2200,3974 10,10,8,4
6 1 649,1002,1244,1249,1465,1590,1626,1727,2074,2259,2481,2710,3409,3680,4096,4499,4740 3,5,6,6,2,4,2,8,10,3,10,0,6,2,5,8,3
7 1 800,835,993,2560,3529,4270,4660,4726,4972 3,9,0,9,9,10,9,0,2
8 0 1772,2618,3597 4,5,1
9 0 1099,1394,1587,1716,3400,3684,4197,4636 9,1,0,5,6,9,9,9
10 1 962,1058 9,1
11 1 683,1401,1463,1510,1601,2897,3441,4144,4201 7,1,0,3,2,9,2,8,1
12 1 18,257,399,549,720,942,1319,1390,1432,1491,1530,2190,2491,2543,4204,4564,4672,4853,4982 10,5,10,4,6,0,1,3,9,7,5,3,0,3,8,9,3,2,6
13 0 1965,2008 3,7
14 1 610,2836,2926,2953,3424,3915,4957 10,9,8,0,0,5,10
15 1 246,456,482,660,1171,1578,1587,1982,2293,2427,2566,2931,3037,3051,3192,3430,3511,4336,4398,4810 9,9,10,9,0,5,0,3,5,4,5,1,7,8,9,9,1,5,7,9
16 0 174,571,630,869,931,947,1334,1381,2256,2430,2604,2798,2958,3019,3506,3628,3957,4038 0,8,2,4,7,1,6,2,8,3,8,2,4,1,2,6,9,0
17 1 96,684,2075,2466,2692,3313,3753,3963,4005 6,4,5,5,7,0,2,3,6
18 1 282,2904,3209,3766,4278 10,4,5,9,0
19 0 4138 2
20 1 268,641,1111,2141,2502,3293,4736 9,1,2,7,6,5,2
21 0 3296,3567,3703,4008 2,9,0,8
22 1 248,445,682,1332,1516,1602,1956,2285,3145,3499,4127,4244,4409,4707,4960 2,9,8,4,10,6,10,3,5,3,3,0,5,1,7
23 0 38,185,216,290,413,1598,2243,2287,2317,2553,2605,2634,3009,3229,3425,4401,4469,4704 4,1,5,5,8,1,7,2,6,6,9,2,6,9,10,4,9,10
24 0 633,771,987,1024,1109,1156,1312,2003,2674,3307,3490,4447,4691,4711 10,8,5,5,2,8,1,7,4,9,5,0,4,1
25 0 260,340,390,470,619,877,1118,1548,1830,2333,2465,2876,2946,3017,3371,3698,3919,4215,4941 0,5,7,7,8,5,6,3,5,9,1,9,8,4,4,4,3,5,9
26 0 263,288,404,577,586,699,1207,1406,1581,1984,2750,2781,3301,3730,4050,4247,4252,4454,4573,4955 8,2,4,10,9,0,5,3,3,5,0,9,4,6,10,5,4,1,7,1
27 1 3160,4294 6,4
28 0 264,621,1933,2371,2922,3056,3581,4262,4364 6,5,10,6,1,9,7,1,6
29 0 891,2396,2649,3821,3942 4,6,1,10,2
30 0 58,158,633,830,1406,1863,1925,1976,2759,3348,3600,3781,3945,4339,4365,4661,4857 1,1,10,3,3,1,0,10,0,8,9,2,0,4,6,3,10
31 1 584,938,1368,1498,1701,1765,2044,2253,2357,2431,2435,2496,2578,2748,3168,3850,4064,4201,4286,4788 8,9,4,3,6,3,5,10,7,9,5,2,1,10,8,4,1,1,9,3
32 0 88,104,502,1662,2448,2593,2718,3005,3628,3838,4039,4233,4394,4709,4742 1,1,7,5,10,1,8,7,6,7,3,5,5,0,9
33 0 138 8
34 0 1311,2062,2102,2729,3563,3620 4,6,2,9,3,1
35 1 1504,2222,4009,4678,4703 1,4,2,3,10
36 1 554,3445 6,1
