

0 0 8085 1
1 1 238,807,2560,4313,9849 2,4,1,8,6
2 1 339,478,1680,1957,2058,3995,4163,6313,6493,6694,7755,7955,8044,8172,8358,8375,8727,9455,9721 6,1,8,7,8,4,8,6,3,2,6,0,10,2,5,3,5,1,3
3 0 320,659,743,944,2418,3756,4957,5333,5611,6412,6667,8391,9112,9335 1,1,3,0,6,3,7,0,9,0,1,10,1,2
4 1 767,785,1257,1986,2674,2741,3301,3706,4065,4178,4379,4587,5182,5438,6042,6420,6787,6975,7270 4,3,9,5,3,3,7,10,2,4,6,0,7,3,3,4,10,3,1
5 1 1207,1241,1377,1778,2654,3196,3816,4629,5593,6902,6970,7404,9196,9271,9370,9966 0,10,6,10,2,6,5,0,9,4,2,5,2,4,4,9
6 1 203,890,1975,2028,2576,3142,4315,5205,5390,5728,8067,8817,9252,9261,9622 5,2,3,7,1,1,4,2,2,4,4,4,4,10,10
7 1 708,941,966,2520,6451,6543,7803,8297,9288,9920 1,4,5,4,8,10,3,3,9,1
8 0 589,1225,3740,4145,5909,7501 6,8,3,0,10,7
9 0 11,403,537,1382,1990,2358,3985,4408,5009,5418,5709,5915,6578,7961,8005,8697,9152,9477 9,3,4,0,8,5,7,4,6,8,7,7,2,1,5,4,3,3
10 0 699,1704,1858,3000,3091,4751,4822,5158,5705,6134,6174,6851,6868,8355,8474,9054,9369,9448 9,1,6,4,5,7,8,5,1,5,9,8,0,9,0,6,10,0
11 0 1543,2356,5850,7236,7637,7839,9221 4,0,0,2,5,4,1
12 1 841,2535,2619,2948,2949,3035,3475,4612,5273,5883,6786,6967,7189,8037,8175,8590,8769,9076,9117,9425 10,4,9,6,9,6,5,8,8,10,4,2,6,7,5,9,2,8,8,9
13 0 29,1386,1619,1682,2083,2322,2443,4461,4988,6097,6162,6260,6511,6884,6946,8193,8397,8805,9018,9832 6,10,5,6,7,2,1,9,2,9,2,4,6,8,8,8,1,10,7,1
14 1 129,2510,2934,3511,7132,7744,7827,8412,8813 7,8,7,9,7,4,6,5,4
15 0 7030,8777 7,3
16 0 3903,6854,7912,8835,9529,9864 5,3,0,10,4,6
17 0 1278,2263,3872,4765,4844,5864,7315,7582,8350,9374 2,7,3,6,0,3,3,8,3,3
18 0 194,270,445,1953,2159,2370,2618,4919,5853,6447,6500,6520,7227,7360,7479,8257,9117,9344,9837 2,2,0,6,3,9,3,1,10,1,3,3,9,8,8,4,8,2,8
19 0 60,582,1210,5615,6327,6862,7531,8456 0,1,4,1,6,2,8,1
20 0 515,1846,2552,2691,2863,5232,5380,6225,6497,6757,7206,8634,9189,9930 6,2,6,5,5,10,10,3,4,9,10,8,1,5
21 1 1656 10
22 1 5223,6112,6197 1,5,3
23 0 1766,3116,3125,3318,4181,4957,5837,5989,6973,7015,7257,7609,8003,8322,9203,9264,9298,9573,9630 7,6,8,1,3,7,4,2,9,9,7,10,7,4,0,7,7,9,1
24 1 454,1227,1754,2529,2596,4598,5534,8634,9528,9688,9797 10,2,3,5,4,10,2,8,7,3,6
25 0 986,2213,2955,3035,5213,5905,6070,6307,6513,6850,8764,8999,9500,9849 8,10,4,6,6,5,5,6,5,1,2,1,3,6
26 0 851,853,867,1028,1118,2012,2301,3047,3572,3913,5349,5434,6330,6386,7832,8608,9540 0,5,5,7,2,8,4,7,2,1,2,0,9,9,1,7,5
27 0 1019,3181,4798,4885,7381,8386 7,8,5,6,3,2
28 0 2572,3729,4027,6251,6555,6839,7482,8009,8556,8649,8915,8946,9489,9494,9522 8,5,2,0,2,1,0,7,8,2,6,3,2,2,0
29 0 255,946,3933,3974 4,8,1,4
30 0 1931,1958,3340,3393,3493,6221,7230,9066,9083,9540 9,8,0,10,5,8,3,1,4,5
31 1 1600,1789,1889,2079,2187,2575,3527,5036,6074,6641,7582,9460,9531,9719 8,0,4,3,2,5,5,7,7,2,8,2,9,10
32 1 900,967,1428,6071,6460 3,4,4,8,3
33 0 3284,3335,3569,3638,5433,6119,8087,8264,8552 3,0,1,1,4,9,2,4,0
34 0 546,1113,1691,2956,3637,3774,4055,6301,6303,6422,6622,7125,7346,8397,8862,8874,9740 10,2,3,10,5,3,8,6,8,3,9,5,1,1,10,8,5
35 0 6304,9027,9428 9,10,8
36 1 3416,3455,5306,5722,6367,8468 6,10,7,9,7,5
37 0 881,5323 10,6
38 0 31,76,1177,1501,1519,2193,2767,3962,4193,4414,4805,4854,5444,5751,6031,6345,6359,6446,7149,8406 0,6,7,6,1,4,6,4,4,2,2,8,5,8,0,1,5,3,4,8
39 0 120,1987,2376,3226,6716,6981 9,2,6,8,2,1
40 1 1390,2432,4096,5221,5280,5575,5578,8396,9362,9503 3,1,8,8,0,8,7,8,6,4
41 1 136,588,1902,4146,4821,5257 4,4,2,4,8,6
42 1 2224,3521,5144,5193,5346,5766,6750 3,2,2,7,2,9,6
43 0 167,439,737,1371,1764,2872,3454,4252,4701,4756,6317,6780,7528,8253,8961,9068,9301,9556,9837 2,3,3,5,10,1,4,9,10,3,2,9,10,1,5,1,7,3,8
44 0 631,716,2639,4658,4888,4964,6410,7462,8230,8473,8861,8923,9664 7,9,5,0,2,9,3,0,3,9,0,9,2
45 1 2732,9920 8,1
46 0 186,1257,1988,2185,3031,3260,3486,4500,4908,5288,5914,6168,6190,7485,7639,8393,9753 2,9,3,5,0,6,7,8,6,10,9,8,8,1,8,8,5
47 1 370,772,916,956,967,4351,4715,5320,7121,7547,7679,7743,8120,8157,8265,8440,8728,9866 0,1,7,8,4,4,2,4,8,9,8,9,8,8,6,2,3,3
48 1 4070,4438,6211,7838,8419,9301 1,5,3,5,8,7
49 0 600,9620 7,10
50 0 470,513,796,1636,2553,2606,2717,2890,3116,3647,3840,4019,4261,4378,6205,6715,7165,7842,8464,9080 6,4,9,6,9,8,8,6,6,8,9,10,0,6,3,2,1,0,10,0
51 0 964,1032,2014,2033,2282,2917,2952,3121,3628,3849,4822,5410,6101,6134,6164,6660,6671,6847,7338,7723 0,10,10,2,10,2,8,7,5,3,8,0,7,5,5,9,8,2,7,4
52 0 1311,2442,3317,6574,9148 10,8,2,6,4
53 1 286,669,907,3184,4198,4881,5609,5712,7257,7424,7782,8002,8225,8459,9852 4,3,3,3,5,9,6,9,7,9,6,3,0,1,2
54 0 7639,9240 8,10
55 0 1317,2502,3114,3306,3473,3673,4181,5663,5845,8588 7,2,8,7,5,4,3,7,10,7
56 0 56,615,1713,1995,2343,2564,3346,3588,3696,4274,4538,4726,5079,5499,5718,7085,7727,8729 4,0,7,0,8,0,7,7,9,3,9,2,2,3,6,7,0,8
57 1 289,297,1459,1861,2490,2497,2577,3254,4247,4715,6107,6310,8352,8764 7,6,2,1,9,3,5,1,1,2,10,8,6,2
58 1 395,706,3236,5821,5965,6137,6157,7204,7975,8355,8660,8738,8900,9072 8,8,0,8,4,5,8,7,8,9,0,5,8,5
59 0 4599,5303,6743,7154,7821,8134,8744,9179 5,0,6,10,7,0,5,7
60 0 1334 6
61 0 6464,8034,9466 6,5,4
62 1 862,960,1631,1742,2293,2367,3180,3322,4241,4510,4805,4987,7601,7880,8099,8923,9930 10,10,0,1,0,7,4,8,1,5,2,10,2,8,10,9,5
63 0 785,1481,1698,1817,2793,2852,5016,5256,5405,6254,7942,8055,8266,9090 3,6,8,9,5,3,5,4,9,5,4,5,1,3
64 0 2,125,471,758,892,1377,1549,1922,3090,6841,6928,7561,7752,7866 0,7,9,4,7,6,3,3,10,3,8,9,5,4
65 1 1065,1246,1866,3589,4764,5801,6115,6401,7720,8457,8780,9140 10,7,10,8,1,7,8,9,1,9,3,2
66 1 190,4465 3,7
67 1 524,6202,6287,8678,9614 7,9,7,6,9
68 1 660,791,1234,2085,3282,4394,4681,5020,5494,6733,7862 8,4,10,1,3,5,6,0,9,0,1
69 0 1300,1815,1819,1915,2798,3865,4068,4932,5445,6867,7765,9105,9744 3,8,1,5,2,2,6,0,0,5,5,0,0
70 0 3366,3553,5059,7969,8215,8329,9676 10,1,6,7,4,2,6
71 1 2591,3009,3286,3359,4766,9339,9543,9881,9913 7,2,5,3,6,4,1,7,9
72 0 1726,4009,5436,6553,7521,7767,7964,8181,8812 4,10,4,9,8,7,3,9,9
73 0 3551,4635,5580,7644,9698 10,2,10,8,9
74 0 1197,1345,2413,2562,2599,2930,4357,4743,5835,7058,8208,9564 7,8,8,2,9,5,5,10,8,7,4,3
75 0 2541,3180,3291,3578,4433,4504,6468,6705,7288,7784,8535,9585,9784 5,4,10,5,0,9,5,5,9,8,9,2,0
76 1 1049,2168,3177,3331,3693,4462,5048,5222,6722,7441,9434 7,1,1,9,6,7,7,4,2,7,9
77 1 574,865,1666,2597,3000,3135,4052,4157,5675,5802,6148,6398,6901,9289,9453,9708 8,10,4,2,4,9,7,9,6,9,0,4,9,4,2,9
78 0 642,2063,3975,4590 9,1,4,10
79 1 707,1158,1244,1428,1585,1688,2116,4961,6320,6520,6960,7207,7537,8024,8813 0,3,2,4,1,7,10,7,7,3,0,0,1,9,4
80 0 9643 9
81 0 136,346,419,711,885,1143,1277,1450,1885,3202,3431,5979,7409,7575,8479,8599,9215 4,4,0,5,8,6,3,9,7,2,0,10,9,5,5,1,3
82 0 1281,5635,6288,7321 7,2,8,1
83 0 600,652,996,1528,1925,3881,4846,6392,6614,7108,7505,9159 7,1,8,2,5,1,2,1,3,2,2,9
84 0 155,491,635,897,2146,2262,2740,4049,5245,6345,6475,7522,7699,8431 6,5,9,10,6,2,10,7,10,1,4,8,4,6
85 1 886,1586,1591,1695,1820,3212,5738,5984,6002,6199,6771,6953,7250,7374,7662,8488,9517,9777,9835 6,4,2,2,3,8,8,3,10,10,9,1,1,3,3,6,7,4,8
86 0 482,1464,5358,5786,7053 8,3,2,10,3
87 1 8024 9
88 0 2663,4727,8205,9384 3,10,9,1
89 1 263,6208 6,7
90 0 616,2699,3688,4267,4995,5002,5848,6353,6988,7995,8919 8,0,3,8,7,5,8,10,8,5,10
91 0 1252,2884,4670,5294,5917,6241,6329,6858,7191,7948,8052,8489,8783,9180 8,6,1,2,1,8,6,1,7,4,2,0,8,0
92 0 2206,2405,2766,2907,3585,4153,4285,4411,4499,4984,5376,5673,5748,6174,6304,7168,7622,8058,8535,9102 10,2,6,3,6,5,1,6,2,6,10,4,7,9,9,5,1,10,9,1
93 0 5113,5781,8314 1,6,8
94 0 2670 10
95 0 217,423,1696,2710,3770,9284 10,4,1,10,7,2
96 1 9410 10
97 1 512,848,1572,1591,6936 7,8,2,2,8
98 0 1198,1584,5673,7103 9,1,4,3
99 0 347,540,2611,3513,3527,5206,5208,5556,6581,6771,7583,8376,8759,9104 7,6,9,2,5,0,2,1,5,9,9,7,1,10
100 1 1205,2066,2118,2343,2728,8956,9723 0,2,10,8,5,3,6
101 0 934,2584,2618,2810,3082,3863,4228,5156,5621,6310,6652,6844,7706,8466,8907,9454,9468,9504,9715,9954 0,5,3,8,0,9,8,2,6,8,6,5,1,6,3,1,3,3,10,9
102 0 857,960,2125,2982,5612,6580,6760,6946,7223,7311,7409,7436,8376,9114,9533,9983 0,10,4,8,7,6,10,8,4,9,9,10,7,9,4,10
103 1 3435,3845,5147,5492,7571,9384 7,4,5,3,9,1
104 0 981,3243,3470,8258 8,8,2,1
105 1 66,758,3132,3745,4040,4483,6166,6879,7224,7627,8687,8692,9718,9903 1,4,4,3,6,1,4,2,0,5,9,8,6,2
106 0 2379,5587,7839 6,3,4
107 0 180,708,1401,1652,2244,3911,6265,8144,8447,8802 2,1,0,8,0,2,8,3,0,9
108 1 3353,3625,4854,5077,8639 6,1,8,8,2
109 0 1707,2259,2551,2939,3300,4328,4442,4979,5770,6349,6401,6825,7199,7841,8083,8146,9113,9922,9962 5,9,6,1,5,8,10,2,10,0,9,9,6,7,6,10,8,7,1
110 0 1022,1730,1860,2397,2608,3434,3690,5630,6092,7558,9924 1,6,7,5,10,6,4,9,0,5,3
111 1 4101,7573,7781,8158,9161,9475,9757 5,9,1,5,7,9,3
112 0 43,1378,1502,3841,4660,6101,7050,7402,8143,8711 3,2,8,6,9,7,1,8,6,4
113 1 987,1761,3866,5210,6947 3,4,6,9,3
114 0 1154,1301,1653,1851,2448,3852,4189,4423,4591,4739,5031,6933,7027,7200,7218,7288,8687,9875 3,7,10,10,7,5,10,5,3,5,9,6,4,7,10,9,9,4
115 1 344,982,1634,1742,3003,3262,3532,4151,4697,5045,6209,6383,6564,6618,6982,7759,7855 10,6,2,1,5,5,1,1,7,5,2,4,0,0,8,3,2
116 1 895,2877,6943,7282 7,3,4,0
117 1 618,1555,4999,6953,7145,7485 2,3,3,1,7,1
118 1 1181,5913,6121,6428,8237,8851 3,0,0,0,4,0
119 1 120,710,849,1108,1310,1919,2415,4359,4372,4552,6566,6590,7053,7771,7877,7972,8193,8475,9615 9,4,6,4,1,9,1,8,8,2,8,8,3,1,0,3,8,2,1
120 1 57,250,258,1952,2795,3459,3892,4277,4823,5354,5914,6778,6891,7683,9258 2,4,6,1,10,3,9,6,8,10,9,9,8,2,4
121 1 871,974,1815,2128,2653,2727,3552,6252,7851,8340,8730,9554 3,10,8,2,8,7,2,5,9,5,2,4
122 1 1866,2951,4085,4206,4979,5140,6145,9088,9273,9502,9729,9967 10,6,3,0,2,3,2,0,4,1,8,4
123 0 596,704,2838,2919,3725,4731,5806,6409,8764,9098,9497 8,2,6,2,7,10,4,4,2,4,8
124 1 319,1378,2027,2307,2374,2771,2865,3007,3545,3933,4400,5700,6680,6713,7880,8478,9122 1,2,3,0,5,4,6,9,9,1,0,8,10,10,8,1,9
125 0 5161 2
126 0 452,551,1045,1150,2550,2593,2743,2815,3919,6033,6918,9573,9902 4,10,5,10,3,3,2,10,7,3,0,9,0
127 1 89,252,522,981,2222,2262,2696,3454,4867,5398,6708,7518,8270,8690,8750,9623,9892,9898,9994 7,1,4,8,3,2,0,4,0,4,6,5,2,10,3,0,7,7,7
128 0 1,8264 8,4
129 1 2793,4984,5425,9332 5,6,6,6
130 0 3335,4032,4127 0,3,10
131 1 154,1145,1889,2545,3074,3325,3474,4886,5352,5489,6286,8236,8817,8973,9234 2,10,4,6,6,6,0,1,9,0,1,4,4,8,2
132 0 33,4794,6938,8040,8934 0,3,0,0,4
133 1 608,2468,4803,7046,9607 9,5,9,5,1
134 0 4409 4
135 0 1865,3909,4182,5560,8263 5,3,4,2,0
136 0 2240,3672,9014 5,0,1
137 1 570,2098,2700,2854,2862,3621,3717,5657,7356,8177,9340 7,5,2,10,7,4,7,7,3,9,9
138 1 1383,1928,3329,4242 2,10,8,2
139 0 1554,1992,7281,8109,9803 0,10,2,6,1
140 0 2,349,1186,2916,3024,3439,3599,3790,4614,4648,5563,6109,6281,6515,6873,7242,7822,9074,9442 0,4,1,7,8,6,9,2,7,3,1,6,9,5,0,1,10,6,5
141 0 1244,1327,2384,2833,3552,4114,5845,7438,7505,8209,8718,8750,8890,8910,8930,9442 2,2,5,6,2,10,10,0,2,5,5,3,9,7,3,5
142 1 153,474,930,953,1032,2170,3867,4393,4421,4514,5218,6427,6984,7625,7659,8419,8623 0,0,3,9,10,0,1,5,7,7,0,3,2,10,8,8,7
143 1 3747,5131,5425,5796,6636,8254,8334,8841,9382 5,3,6,0,9,5,9,0,6
144 0 102,590,3170,5889,7588,9030,9411,9834,9970 9,0,9,5,9,4,9,1,6
145 1 297,410,551,887,1520,1835,3514,3714,3965,4549,5503,6589,7141,8337,8813,8827,9203,9218,9235,9273 6,1,10,1,1,2,2,0,0,0,8,5,6,3,4,4,0,10,9,4
146 0 1904,3279,3392,4484,4612,6370,7103,8068,8931,9730 1,4,6,9,8,8,3,8,7,0
147 1 451,471,2876,6682,7587,8116,9290,9335 5,9,10,8,4,1,10,2
148 1 54,472,665,3207,3222,3351,4255,4452,5144,8448,8664,8802,9509 1,7,2,5,2,10,3,10,2,5,9,9,2
149 0 2931,3966,4120,8176,8265,8982 0,5,1,2,6,0
150 1 182,265,602,3075,4054,4064,6338,8356,8815,9262,9958 6,3,6,7,7,9,6,1,6,8,4
151 1 291,1453,4490 0,4,5
152 1 2670,4005,4477,6345,7692,7755,7863,9570 10,6,10,1,2,6,2,6
153 1 36,1459,1916,2013,7118 4,2,4,6,7
154 0 2959,3530,4235,4828,6373,6488,6862,7034,7985 8,9,6,6,7,0,2,3,10
155 0 2521,3089,6771,7377,9530 9,0,9,3,10
156 1 2919,4900,5942,8199,9110 2,1,6,4,7
157 1 559,1394,1937,2017,3114,3442,3487,3570,4296,5383,6398,7443,7966 6,3,3,2,8,8,3,9,4,6,4,7,0
158 0 590,686,886,1404,1582,2366,2570,2656,3241,3883,4567,5497,6025,7344,7657,9739 0,9,6,6,10,1,4,9,6,10,7,1,1,0,7,4
159 1 985,3162,5576,7019,8881,9500,9611 7,3,9,2,2,3,8
160 1 1943,5456,7460,8054,9520 8,1,10,4,7
161 1 206,280,5646,6760,7512,8036,8297,9450 7,3,7,10,5,6,3,4
162 0 233,344,382,1699,3411,3897,4254,5860,6515,8435,9436 0,10,4,5,5,9,1,3,5,6,6
163 0 88,173,2749,3808,3927,5888,5980,5997,6398,9596,9703,9816 2,7,0,8,2,4,10,7,4,8,9,9
164 0 1043,4598,5250,8833,9471,9674,9854 8,10,7,3,10,7,3
165 1 116,2226,5289,6673,7633,8268,9644 8,0,2,3,8,8,0
166 0 57,470,976,1528,4623,4756,5030,5528,6128,6191,7446,7654,7863,8413,9016 2,6,4,2,5,3,5,8,9,5,9,10,2,9,1
167 1 4,1582,2184,3413,6179,6341,6881,7395,7440,8860,8968,9582 9,10,0,5,5,2,3,4,3,5,7,2
168 1 147,427,1051,1200,1246,1425,1452,1863,1956,2337,3032,5281,6114,6768,9899 9,2,5,4,7,4,4,9,2,3,7,7,8,10,0
169 0 1638,3630,5118,6305,6848 5,2,0,5,9
170 0 1623,2333,2828,3136,7481,9194 1,3,6,9,1,4
171 1 17,1493,1572,1914,2176,2639,3031,4176,5908,6248,6336,6395,8766,8823,9509 7,6,2,3,9,5,0,10,10,10,10,8,4,3,2
172 0 1173,5519,8965 4,8,2
173 0 455,573,2457,7526,9002,9733 3,4,4,2,5,9
174 1 270,2552,2648,4148,4484,5944,6316,7156,7510,8547,9001 2,6,5,8,9,2,0,0,0,3,0
175 0 1580,2597,3189,3192,5711,7550,7581,9494 4,2,1,5,8,2,4,2
176 0 3863,4597,5236,6589,6890,8810,9100,9326,9644 9,9,8,5,6,3,4,9,0
177 1 305,2627,4051,4107,5534,5823,6295 0,1,9,7,2,6,9
178 1 722,1432,1602,2881,3254,4179,4266,4623,5626,6162,6304,7740,7888,9066 4,3,8,0,1,10,8,5,8,2,9,5,0,1
179 0 462,935,1023,1935,3355,4109,4548,4824,5177,5212,6119,6416,6619,6939,8648,9585,9986 2,2,9,10,3,10,6,3,0,4,9,3,10,7,9,2,5
180 0 1631,1646,1688,2061,3766,4469,4800,5359,6738,7938,8491,8515 0,3,7,0,0,9,10,9,6,5,1,2
181 0 131,688,1377,2699,2889,5132,6409,6466,7345,7859,8559,8833,8929 7,3,6,0,8,1,4,5,10,9,0,3,3
182 0 17,765,1867,2219,2563,3235,4514,5168,6324,6483,7960,8137,9102,9262 7,2,4,6,4,0,7,9,2,9,9,10,1,8
183 1 860,2165,6824 3,8,0
184 0 852,2604,4706,5521,6685,7499 4,3,4,7,10,5
