

0 0 7431,8872 9,9
1 1 348,512,2800,2832,2989,3950,5443,7496,11174,12053,13294,13739,13789,14173,15654,16778,17017,18445,18820,19090 3,7,1,8,10,7,10,5,3,6,9,3,9,0,2,1,2,6,4,3
2 1 2744,3981,4325,4436,5487,6481,6744,8825,13149,19366 7,7,3,8,0,8,2,5,3,10
3 1 119,828,2889,5092,5342,5646,10137,11223,15185,16524 7,7,0,7,9,6,6,10,8,0
4 1 637,878,3021,5566,7653,9342,11976,12018,12036,13844,14348,14585,15012,15089,15910,17601,18554,18727,19494 1,0,3,6,5,0,0,2,4,1,2,3,6,6,1,4,9,9,0
5 0 1072,3940,4122,6573 8,6,0,3
6 1 227,4167,5154,5397,5415,5676,5827,6601,6666,6837,14216,14915,15475,16050,18962,19749 0,1,2,9,8,3,7,4,3,9,4,6,8,3,1,9
7 1 255,3852,4186,7567,7877,8099,9527,11550,11836,12225,12463,12592,13541,17056,18896,19050,19345 4,8,5,9,10,4,0,10,5,5,2,2,4,0,9,10,3
8 0 2727,3082,4512,5919,7299,7394,9145,11038,17971 2,8,5,7,1,8,3,10,9
9 1 1956,4094,4781,6401,6417,7812,12663,14785,17196,18535,19011 3,0,0,4,7,10,0,0,2,2,8
10 0 1762,2304,5817,5914,6226,6503,7357,8692,10045,10074,10224,11601,11803,13038,13976,16899,17847 9,6,6,4,2,0,1,7,3,4,8,6,9,1,7,9,6
11 0 3259,4856,5076,6683,10435,11253,14402,15756,17324,17610,19261 4,0,6,4,8,5,0,10,9,5,5
12 1 1581,2021,2622,4875,5767,10746,11059,13021,13304,15643,15932,16611,17322,17829,18189,19578 7,2,8,8,2,10,5,7,10,0,1,3,10,7,2,10
13 1 3933,4578,4630,4909,6866,7984,8429,8739,12266,12715,13995,14600,15738,18880,19690 3,7,3,0,6,5,4,0,8,1,1,8,8,9,6
14 0 704,1130,1820,8650,10036,11670,12881,16600 4,2,2,4,2,10,5,10
15 0 1814,1966,2037,3413,4320,5666,5774,6073,8184,8347,10049,11286,12818,17934 5,7,0,4,9,10,8,5,0,0,10,9,3,8
16 0 876,1214,1228,2189,2335,2878,13138,16309,16462,17686,18165 4,10,2,0,0,8,5,5,1,9,8
17 0 2717,2780,3669,5449,11222,15373,19682 5,8,4,7,10,5,9
18 1 3493,5623,5928,7794,10788,10926,13208,19702 0,3,10,3,3,0,4,3
19 0 760,2041,2730,3219,10869,11939,13355,13971,15169 5,3,8,7,2,4,4,1,4
20 0 1125,1491,1908,2652,3507,4653,5797,9551,10265,11031,11311,12763,13892,15138,17572,19887 7,1,0,4,7,10,1,8,1,9,4,8,2,5,10,9
21 0 1836,5255,7508,10531,13061,15117,16756,17362,17722,18641,19069 2,6,4,2,3,5,10,3,3,7,10
22 1 1835,7008,7461,8286,8797,10585 5,9,1,1,2,8
23 1 1505,15110,16051 7,8,4
24 0 174,2487,4218,4954,4969,7107,7825,8844,10230,11557,15850,18565 5,3,10,10,9,7,9,4,4,2,5,3
25 0 2340,3961,5077,9910,12966,14995,15488,16607,16858 7,7,4,8,0,10,8,8,2
26 1 2426,2553,3196,5361,6015,7575,7583,10603,14597 1,4,4,5,5,4,4,1,5
27 1 2312,4221,6785,7600,7686,8594,8962,12403,13810,15276,16152,16198,19462,19917 8,4,6,9,6,8,5,3,6,4,5,8,4,6
28 1 437,2528,3193,12253,16190,19815 6,9,2,0,2,9
29 0 2811,7938,9017,10126,11568,12796,14179,16999,17978,19721 10,4,10,3,6,7,2,0,3,1
30 1 5137,8496,8555,15469,16580,18393 2,5,5,8,7,9
31 1 2092,7209,10790,11062,13903,17663 6,10,0,5,4,4
32 1 14252 9
33 0 9868,11989,13789,19967 6,1,9,1
34 1 350,1265,1730,2277,5092,5543,7622,10001,10310,11017,11514,14069 4,4,0,3,7,9,8,3,1,2,9,10
35 0 6149,9318,10484,10994,15952,17166,18001,18715 2,6,2,8,9,4,9,7
36 1 1307,2704,5613,16781 2,8,1,10
37 1 21,2016,6589,6601,6609,7034,7474,8595,9403,10143,14159,14227,15908,17492,18331,19018,19787 5,1,4,4,6,2,3,9,10,7,3,5,7,7,1,2,9
38 1 3799,5116,7523,9764,12127,14609,17624,19647 3,3,9,8,1,8,2,6
39 0 1588,2134,5152,5268,6426,7617,9025,9663,9803,12016,13873,14593,18395,19990 3,4,3,8,2,8,7,1,5,2,10,7,6,8
40 0 497,1023,2088,2190,2300,2796,2830,3078,7964,12095,12192,12738,13637,16173,16255,17922 8,2,4,10,1,9,0,5,9,3,5,1,7,7,7,3
41 0 5264,16289 0,5
42 1 1601,3162,4031,4293,6693,9327,10988,12025,12775,13539,14691,16126,16964,17155,18188,19407 4,10,8,10,8,6,5,3,4,4,7,9,2,6,10,5
43 1 9623,9715,10589,18445 1,1,1,6
44 1 3235,4181,6380,8232,11728,12013,12927,13386,14223,14875,15425,18272 6,7,6,8,5,5,10,8,7,2,10,6
45 0 3073,5268,10247,10656,10694,11300,11692,12685,13843,14188,17277,18880,19001 5,8,5,3,0,4,2,6,1,1,5,9,3
46 0 2351,2635,4019,5466,6676,6987,9150,13376,13728,15897,16532,18770,19983 5,6,2,9,10,2,9,8,1,9,5,4,1
47 1 1531,1976,2651,3746,6972,7025,7260,7409,7873,7980,8541,8877,9258,9632,10112,13646,16261,16809,17501 0,8,6,7,10,2,9,0,7,9,10,7,6,3,0,10,1,0,4
48 0 13662,14478 8,7
49 1 911,2281,2380,2598,3923,4614,5523,6699,8874,9290,10223,14302,16060,16328,16629,19662,19929 1,8,6,4,8,6,9,4,5,7,7,2,8,6,5,7,1
50 1 1979,8309,18488 5,5,5
51 1 2828,4596,7437,7801,11741,11969,12432,17178,19034 7,1,1,0,4,10,5,6,9
52 1 5805,7706 8,8
53 1 1077,1765,2097,2816,2888,5872,6061,7441,8287,9796,10381,11678,11779,12108,12116,12130,12156,15069,16746,19326 8,5,9,9,1,5,10,1,3,1,7,7,4,4,1,7,9,9,8,6
54 0 624,2747,5764,5802,6099,6990,8017,8179,14274 7,7,7,4,8,2,3,0,5
55 1 100,7657,11643,11742 2,7,7,0
56 1 1233,1661,1879,4699,6264,9336,12124,12244,12628,12708,14646,14944,15532,16697,19020,19463 4,0,4,9,3,7,3,8,7,1,3,7,9,1,10,7
57 0 386,679,2840,8359,13590,13753,18647,19073,19391 5,1,9,0,7,2,7,0,10
58 0 10311,18600 1,8
59 1 167,1886,2945,4626,5064,5225,5750,6007,7919,8125,8513,8972,10001,11855,13725,15000 4,10,2,6,1,7,1,5,5,0,7,9,3,10,6,7
60 1 63,2657,5992,6604,7675,9659,10092,11118,12724,18375,18622,19572,19793 3,2,5,5,10,5,6,7,9,7,2,0,9
61 0 546,3619,3765,3982,6014,6502,10852,11058,14878 8,2,3,3,9,0,1,8,6
62 1 4279,4975,17700 9,9,10
