

0 0 3905,4582 7,7
1 1 670,673,877,926,1090,1171,1387,2005,2096,2197,2366,2569,2635,2856,3555,3602,3861,4722,4768 9,5,5,8,1,3,3,8,5,9,9,9,10,4,8,7,1,10,8
2 1 41,296,475,907,1186,2028,2444,2735,3280,3282,3933,3985,4274,4438,4514,4658,4688,4713,4878 4,9,0,10,2,6,6,0,0,1,10,4,5,6,5,0,6,9,7
3 1 2528,4057,4110,4383,4904 7,5,4,3,6
4 0 253,333,838,1561,1812,1879,2592,2835,3032,3855,3925,3991,4826 3,4,6,6,4,8,0,4,4,3,6,2,4
5 1 10,2400,3962 9,7,9
6 1 820,1050,1729,1817,1987,2731,3663,3790,3831,4867 6,8,1,10,3,0,4,0,9,2
7 1 99,1141,1997,2028,4026,4213 4,10,1,6,9,0
8 0 1473,1545,2452,2949,3183,4064,4270,4699,4762 3,2,5,5,9,2,9,3,10
9 0 37,2463,2527 5,8,7
10 0 302,408,3349,3420 5,1,10,9
11 0 712,1560,2077,2080,2158,2376,2502,2858,2900,3270,4222 5,2,1,3,6,3,5,5,9,9,6
12 0 265,294,866,876,952,1226,1481,1518,1869,2132,2222,2329,2595,2796,2964,3398,3454,4286,4410,4642 2,0,9,5,10,2,5,6,3,1,4,7,2,10,2,10,1,9,1,1
13 1 622,1261,1470,2442,3478 2,9,7,1,9
14 0 287,614,690,1119,1673,1849,2263,2341,2729,2805,2926,3099,3119,3172,3254,3278,4452,4476,4872 10,2,7,1,1,3,10,7,8,1,1,6,4,4,0,5,1,8,2
15 0 737,1018,1138 10,7,2
16 0 697,832,1336,1872,2496,2520,3255,3298,3492,3524,3688,4218,4558,4612,4636 6,9,10,1,3,5,5,10,7,10,6,4,6,1,2
17 0 668,1008,1596 5,4,6
18 1 503,2030,2665,2758 10,8,6,6
19 1 1190,2764 3,9
20 0 385,606,996,1463,1626,1679,1694,1841,2226,2273,2940,4280,4381,4417,4711,4763,4957 7,10,0,8,2,10,1,7,10,8,9,0,9,3,7,5,4
21 1 5,294,4922 3,0,6
22 0 430,703,903,2047,2743,2895,3456,3765,3894,4056,4067,4902 3,2,9,10,2,10,7,3,3,4,1,4
23 0 1318,1369,1843,2012,2227,3397,3511,4526,4570 0,6,2,2,0,2,2,5,8
24 1 509,1042,1593,1627,2198,2311,2469,3017,3570,3746,4144,4273 1,5,5,6,2,5,5,0,2,3,4,7
25 1 1059 1
26 0 466,630,703,1197,1346,1558,1941,1999,2503,2987,3289,3685,3731,3819,3901,4381,4428,4561,4773,4974 7,4,2,10,7,7,9,10,8,9,5,3,8,5,4,9,0,3,0,3
27 1 3284,4589,4642 10,4,1
28 1 403,962,1238,1277,2690,3689 6,1,8,10,4,4
29 0 1288,2086,2444,3222,3527,4639,4702,4805,4918 0,9,6,5,2,3,4,10,4
30 0 27,145,155,496,1059,1110,1355,1379,1764,2084,2618,2857,3284,3301,3772,4023,4299,4420,4755 10,10,2,6,1,4,5,6,2,1,1,7,10,7,8,2,2,5,2
31 0 4726 8
32 0 265,569,676,815,1133,1211,1515,2191,2610,2775,2840,3342,4444,4672 2,3,3,8,3,5,3,5,7,10,8,4,0,2
33 0 11,83,131,883,964,1155,1196,1260,1466,1755,2089,2204,2857,3380,3463,3718,3758,3959,3969,4334 5,7,8,7,3,2,10,3,6,6,7,8,7,1,6,7,9,2,10,8
34 0 172,652,901,928,1070,1122,2031,3528,4246,4498,4527 10,9,5,7,6,9,4,8,8,3,9
35 1 398,3417,3839,3896,4707,4840,4928 4,10,7,5,8,10,0
36 1 679,1670,2168,2481,2839,2989,3187,3336,3413,4026,4179,4374,4427,4850,4862 5,10,3,5,5,9,6,8,6,9,10,3,4,1,0
37 1 528,649,1298,1397,1464,1884,2581,2908,3119,3307,3335,3552,3603,3654,4438,4661 4,5,5,4,4,6,5,0,4,1,10,4,10,5,6,7
38 1 983,1583,1619,1653,1691,2424,2838,3220,3300,3371,4630 8,2,7,5,2,10,1,6,8,4,8
39 1 394,431,528,1792,1914,2065,2128,2197,2492,2641,2849,2907,3064,3368,3580,4019,4071,4211,4739,4793 2,7,4,10,4,2,3,9,2,5,8,0,7,7,1,10,1,4,4,8
40 1 1689,1849,2811,4116 8,3,5,4
41 0 337,509,562,1123,1146,1632,1690,1745,1941,2756,2865,3093,3333,3513,3515,3753,4372,4382 9,1,3,3,3,9,0,9,9,8,4,2,8,2,1,7,10,0
42 0 286,555,728,778,1073,1416,1563,1664,1777,1818,2243,2432,2499,2917,3200,3438,3441,4271 0,2,1,5,4,7,1,5,0,9,6,1,8,0,1,3,6,4
43 1 1079,1684,2015,2030,2676,4387,4868 0,6,5,8,4,6,9
44 0 209,532,753,779,802,1276,1598,2413,2733,2954,3138,3790,4279,4613,4970 9,8,8,0,0,5,6,9,10,8,4,0,4,5,1
45 1 2511,4225 6,1
46 1 1417,1746,2646,2852,3584 6,10,10,1,8
47 0 573,1062,1282,1453,1473,1923,2397,2880,3103,3329,3536,3597,3738,3919,4099,4221,4530,4671,4848 4,4,2,0,3,6,6,4,7,8,0,2,4,4,8,10,8,10,0
48 0 1380 10
49 0 1608,2148,2343,2863,3102,3149,4306,4691 8,10,3,2,8,9,4,6
50 1 396,565,654,728,1224,1667,2334,2340,2680,2885,3112,3151,3435,3722,4122,4328,4548 6,4,1,1,5,0,4,3,6,1,6,2,4,0,10,4,7
51 0 27,596,764,2041,2056,2647,3390,4044,4452,4810,4878 10,9,0,9,5,8,1,9,1,5,7
