

0 0 11403,19938 1,6
1 1 1418,2808,3866,5063,7033,10408,10803,11745,12178,12200,12906,17373,18920,19331,19488,19785 2,0,10,8,6,2,7,10,1,3,10,9,2,5,0,5
2 1 3569,6374,8348,13977 6,1,1,8
3 1 1,1524,3174,5377,5510,9184,12312,15108,19727 2,6,0,5,9,9,10,2,9
4 0 2105,5061,6475,7176,7790,12010,15737 2,6,5,3,6,3,8
5 0 159,1377,2234,2309,2440,2821,4820,4973,5007,5719,6681,8862,10174,10986,11964,12751,13934,16821 3,7,2,1,3,3,10,3,9,8,8,4,8,5,3,3,3,1
6 1 892,2305,2600,2947,4807,6575,6798,6905,8408,9631,10807,10975,11809,12481,13441,15072,16478,19144 7,1,4,0,2,2,7,4,5,1,1,8,3,10,7,7,9,3
7 1 961,987,3145,3655,4617,4679,5544,7315,8497,12060,12148,16260,17454,18600,18895,19461,19638 1,7,7,8,8,8,0,4,6,3,8,7,2,5,10,7,7
8 0 854,1805,1879,2072,2594,2750,4721,6209,6906,7554,8545,10791,10954,12360,12666,13706,17577,17712,19134 5,10,6,4,8,8,0,3,6,7,7,8,8,5,9,6,6,10,0
9 1 2510,3289,4619,4904,5983,6059,9299,9613,12922,13649,13885,15924,17104,17192,18770,18805 5,10,2,6,9,8,1,3,0,3,3,1,10,0,2,10
10 1 931,1029,1709,2231,2679,3483,5112,5662,9298,10194,11543,11812,16446,17687,17847,18249,18276 7,8,6,10,8,5,0,0,10,8,8,0,9,4,0,7,3
11 1 5646,6969,7206,9211,13624,14474,14602,15183,15407,15532,19321 8,9,0,10,1,9,5,10,3,0,9
12 1 1129,1494,4902,6194,8058,9609,9916,12166,12177,13583,14950,15035,16392,17489,17981 9,1,2,0,3,9,10,2,2,8,1,7,3,4,0
13 1 4879,9631,11884,11935,12933,15479,16270,18359,19260 5,1,10,8,1,5,8,0,2
14 1 1092,3437,8177,12789,13779,19420 5,1,6,1,2,5
15 0 933,2912,4132,4539,5575,6522,10516,10806,13581,15067,15341,18886 1,6,9,8,6,7,9,10,8,1,5,10
16 0 1809,5470,7778,10239,10473,14149 9,1,0,7,3,7
17 0 3574,5863,9979,10608,11458,12033,19783,19876 7,3,9,6,8,5,7,0
18 1 730,1059,3981,5206,5655,6465,8798,10672,10682,13709,16868,18820,19728 0,3,5,10,2,4,1,9,2,0,10,6,9
19 1 1889,2958,7236,7302,8998,9096,9748,10171,13097,16544,16719,18020,18297,18917,19129 8,2,3,6,6,3,1,6,8,10,2,1,7,5,10
20 0 1410,3767,5603,9907,13122,16006 5,5,8,8,5,6
21 1 25,1806,2278,5027,5416,6547,8293,9711,9775,10778,11109,12218,15006,16690,17016,17141,18823 1,3,8,2,6,3,9,4,6,4,8,2,4,5,5,8,4
22 1 4850,9260,12109,17147 5,3,5,2
23 1 1133,1724,4245,4949,5620,6477,6637,7802,7920,8139,8844,11318,11997,12354,13383,16948,17595,19633 9,10,0,2,0,1,9,1,1,3,1,10,9,8,7,0,3,6
24 0 11026 6
25 0 9365 2
26 0 1997,2220,5539,5742,7448,8990,10268,10285,11420,12432,14068,15558,16202,17681,19195,19599,19951 6,2,1,2,2,3,2,2,8,3,2,4,7,6,10,9,2
27 0 30,578,1203,2041,2260,4138,5183,11101,11900,14726,15180,16305,17402,17430,17686,18222,19162,19871 5,1,1,10,1,0,3,1,9,2,9,0,0,0,7,3,8,0
28 1 780,2603,6765,11950,18030,18794 4,9,9,8,1,9
29 0 1305,1843,3297,4079,5746,12694,14480,16646,18815,19716 1,1,10,8,0,8,10,0,6,4
30 0 18219 5
31 1 2999,4286,4696,4966,6497,6935,10333,10919,13700,17699,18859 10,9,2,3,7,9,6,8,8,1,0
32 1 823,1401,2263,4583,5173,5815,11880,13623,16666,19812 2,1,8,2,1,3,8,9,1,3
33 1 1751,7571,11798,11974,13759,15888,16700 9,1,1,3,5,9,1
34 0 1232,3461,3725,4548,5745,5907,7659,8065,8150,8737,8929,9272,9396,9504,12350,14126,14641,15556,16506,17101 5,7,7,7,7,2,2,7,0,0,1,9,6,9,4,2,4,8,1,4
35 0 1457,2481,4349,4908,6123,6339,6491,6571,7517,8490,8717,9103,9555,12325,12329,13541,15598,17469,19100 2,9,10,9,2,10,8,10,4,6,3,10,8,4,1,0,5,5,0
36 0 446,658,6125,8079,18412,19195,19717 1,7,6,2,3,10,3
37 1 413,1536,3168,3346,4171,5876,6907,8017,8929,12996,15893,16146,18027,18256 9,3,3,6,6,10,6,3,1,1,7,10,5,8
38 1 4899,5228,13423,15534 9,8,9,10
39 1 213,1513,1587,2466,4685,6649,7342,8579,9166,9895,10342,14759,15146,17082,19447,19690 6,1,9,5,2,6,9,3,2,1,5,3,6,6,7,3
40 1 1463,2568,3013,4875,6379,7549,9097,9142,10104,10434,10948,11141,12237,12881,13578,13998,14181,14409,17368 10,9,6,3,0,3,7,0,2,3,3,4,3,1,3,8,1,6,9
41 0 14500,14763,17473,17985 0,10,10,10
42 1 929,2691,4074,4486,4559,5235,8118,8668,9050,10922,11721,13474,13973,15961,16437,17092,18561,19170,19690,19913 7,5,0,10,6,5,1,2,6,7,8,0,7,6,0,5,4,5,3,9
43 0 2970,3467,3935,4076,5023,5157,5375,9306,9365,11932,11950,12642,14419,14497,16876,16938,17038,17357,19519 4,6,6,6,6,0,3,10,2,9,8,7,0,6,2,9,0,6,9
44 1 3121,4792,14992,15316,15420,17376,17754 2,4,5,3,5,7,1
45 1 282,1600,2332,2669,4844,5394,14056,15264,15362,17675,17717,18272,18369 1,4,7,0,1,10,4,1,4,1,2,10,3
46 0 542,1346,1714,2364,3626,4916,7493,11158,11745,15382,15538,17514,18536,18679,19389,19584,19930 7,3,4,6,1,2,8,8,10,10,4,4,3,10,9,5,3
47 1 1115,1132,1961,4638,4764,4790,5054,8682,10119,10280,10992,11057,11950,12525,13003,13542,13757,16122,17916,18005 8,6,2,4,3,4,10,1,7,8,3,8,8,7,8,1,0,4,9,0
48 1 1347,7639,9053,10023,11942,12172,18746,19329 6,1,4,0,6,1,1,1
49 0 1148,4618,5665,7336,9015,9832,10030,11524,11988,12510,19513 8,6,2,8,5,10,6,7,8,2,7
50 1 4826,6271,6441,12137,13167,15524,17194,19618,19743 8,0,2,6,10,9,5,4,0
51 0 253,353,533,545,1808,2694,4563,5667,7126,8033,8364,10094,10379,14981,15252,15701,16021,16640,19867 4,4,1,8,6,2,4,6,9,9,2,4,6,3,9,9,3,9,5
52 1 2063,2753,3264,4320,4565,5385,6253,8384,11590,12120,13715,14272,15182,15185,15407,17050,17454,17621,19057,19790 8,10,0,9,8,9,3,8,3,6,2,4,10,0,3,8,2,8,6,2
53 1 587,4144,4833,5536,6610,6856,6877,7345,8600,10727,14320,15375,18585 7,8,8,8,0,5,9,5,10,10,0,10,10
54 0 1391,2484,3156,3393,3625,4567,5439,6544,6622,9677,10503,11798,12205,13078,13717,13877,16138,18286,19515,19889 4,0,2,2,3,0,1,9,7,7,4,1,3,5,2,9,10,6,0,8
55 1 828,2418,2740,3354,3843,5079,8198,9225,9373,9489,10310,10579,12478,12932,16254,16926,19074,19326 3,2,8,7,1,10,2,9,8,7,10,6,5,4,7,6,8,6
56 0 5662,7313,12695,15514,17465,19246,19343 0,0,4,7,4,5,3
57 0 2798,16728 4,10
58 0 322,817,1043,1221,1952,2278,3679,4236,6334,8064,10409,10572,11227,13645,16091,16352,16643,16800 1,5,4,10,8,8,7,6,4,5,4,4,0,8,1,6,1,0
59 1 3660,3803,4070,6641,9391,9740,11028,12163,12439,13242,15085,16417,17544,19057,19308 2,0,9,4,0,0,8,7,4,10,8,7,3,6,5
60 0 266,1402,1877,2657,5164,5552,5636,5725,6295,9217,9247,13057,13160,13770,15057,15847,16267,16776,18517 4,6,6,10,7,0,8,5,7,3,1,9,0,9,6,10,8,0,6
61 0 4500,10848,11750,13187,13873,14513,15671,17507,18400,19533 6,6,0,5,3,6,5,5,7,2
62 1 1180,2898,3486,4436,7947,8353,10770,11301,11655,12537,17241,18232,18685 6,7,9,4,2,7,5,2,4,10,3,2,1
63 0 1171,7486,8403,13068,15633,15997,18283 8,7,2,3,5,8,3
64 1 724,3692,4588,6092,6666,7051,7401,8216,9502,9722,13129,13274,13723,15675,16844 0,5,8,6,5,7,0,2,6,4,0,5,2,0,10
65 0 3458,11358,17095,18178 7,9,7,7
66 1 97,1413,2146,3316,4288,5900,7071,8457,9081,9755,11521,17485,18527 4,0,3,9,6,4,9,3,3,3,9,10,0
67 1 1567,2802,5420,8305,15750,15779 0,2,3,9,8,2
68 0 1874,1988,2335,3664,3891,5060,5494,7559,9484,10473,12837,13727,14216,14824,17550,19361 1,4,5,6,6,2,6,7,4,3,6,8,0,9,1,6
69 0 1910,3041,4478,5141,8112,9752,10619,11933,12156,13445,14892,15752,17444,19035,19698,19909 4,10,2,10,4,5,3,4,2,7,7,8,8,9,6,0
70 0 1063,1610,1894,2953,6378,6410,6840,7363,7835,8057,9204,10310,10468,12835,13231,16690,18814 7,6,1,8,6,10,4,2,2,6,10,10,5,6,9,5,1
71 1 8039,18573 3,8
72 0 2570,3045,3679,3997,4871,15264,16536,18963 4,1,7,1,9,1,4,9
73 0 2053,2578,2802,3349,3794,3989,10715,11688,12214,14642,15361,16893,17921 7,8,2,1,4,5,2,6,1,4,4,4,6
74 0 70,120,473,1375,2420,4011,7471,8249,8976,9461,12696,14154,14998,15481,15749,16476,17020 6,1,3,2,2,1,7,7,4,8,5,0,3,4,5,6,8
75 1 12824 1
76 0 5591,15929 9,6
77 0 628,2658,4781,5791,6459,7828,12432,19453 6,7,0,2,7,8,3,4
78 0 1918,2745,2973,4340,5829,6121,7723,8173,9357,10054,10239,11806,12560,15253,18115 10,2,1,9,2,1,2,4,3,4,7,3,2,2,8
79 0 9038,9427,9804,9949,11454,11859,14520,16412,17611 0,10,7,0,4,4,5,1,4
80 0 645,7285,8267,17190 6,6,2,6
81 1 49,180,2473,2771,4427,4937,6044,7628,7997,8298,8907,10501,11664,14718 10,4,8,6,9,7,0,9,8,5,0,0,1,3
82 0 1472,2143,2598,6661,7239,7489,8289,9581,9596,11616,14441,16408,16648,16756,17729,18406,19365 4,5,6,4,1,5,3,7,5,0,5,8,0,10,5,4,0
83 0 5931,6732,11928,17501,19089,19486 6,10,9,6,1,7
84 1 1485,2026,2256,4124,7999,8685,9251,9279,12618,14620,15315,16410,17698,18841,18971,19818,19971 2,9,8,7,2,1,7,4,2,2,5,8,2,0,2,0,4
85 1 484,4781,9858,12601,12670,13163,17373,17620,18990 6,0,4,10,1,10,9,4,0
86 0 4579,5911,7479,7579,8888,9069,9359,10048,18628,18641,18993,19366 2,5,9,6,0,1,4,3,8,9,1,9
87 0 310,1857,1993,4018,8249,8441,10788,11910,12456,13425,15979,16212,16651,16951,17497,17683,19645 2,6,3,5,7,2,8,2,6,1,2,4,7,1,9,4,2
88 1 67,767,1740,2681,5648,5922,6245,8006,8203,10433,13331,15796,17022,18097,18259 8,7,4,8,8,3,1,9,6,0,9,3,1,1,7
89 0 2026,2994,7771,8685,11204,12300,14163,14289,15979 9,6,7,1,8,0,9,2,2
90 1 650,733,1248,2102,3763,4712,5541,7255,7809,7814,11250,11285,12167,12865,17769,18513,19746 6,3,8,2,3,7,0,9,7,9,10,0,4,10,0,9,2
91 0 11976 1
92 0 8750 3
93 0 1762,10567 9,9
94 0 1,2982,4742,5007,5418,6262,6267,7334,14862,17839,18118 2,3,8,9,3,7,8,10,7,3,5
95 1 6960 8
96 1 13560 9
97 1 64,4799,6760,9264,11135,11742,12391,14752,14993,17964,19177,19405 10,2,7,1,2,8,5,8,4,0,7,10
98 0 1732,2073,2960,5156,5893,6088,6580,9880,15837 3,5,5,8,1,9,1,2,3
99 0 16112 1
100 1 172,1192,2412,4268,4976,6508,7087,7401,9950,11999,12979,13244,14877,15467,15652 9,7,10,6,6,10,9,0,4,0,10,3,7,8,7
101 1 7,1227,2594,3949,4332,6513,7524,12544,13117,16374,17058,19288,19741 3,10,8,8,2,4,7,10,6,9,4,5,8
102 0 2488,3041,7980,9338,10937,12501,13305,14910 1,10,4,6,8,5,1,5
103 0 7880,13288,13605 8,2,2
104 1 3293,3480,4480,9381,9973,14936,15130,16551,18603 9,9,8,10,4,0,7,10,10
105 1 3529,4795,6280,14251,15939,16245,16443 3,3,4,0,4,5,4
106 1 14284,18301 9,6
107 0 622,843,1250,2224,3292,4413,6732,8606,13063,13680,15084,16112,17197 9,1,1,2,6,6,10,3,1,0,0,1,8
108 0 551,616,5285,5691,6231,6427,6584,7346,7464,8295,8583,9287,11067,11398,13131,13819,13909,17854,18345,18761 8,4,5,6,8,7,0,1,4,1,5,10,3,4,4,7,3,0,1,10
109 1 1701,2096,4081,7628,8815,11397 9,2,7,9,6,7
110 1 2172,3062,4602,7059,9087,10715,11910,14037,14660,16257,17112,18150,18292,18924 5,7,6,2,8,2,2,2,7,7,4,0,5,7
111 0 2542 5
112 1 3966,4100,12435,12446,15500,16533,18515 0,8,0,4,6,6,6
113 0 17990 10
114 0 2467,7520,7890,7990,8595,9879,12480,12834,13553,16549 4,2,8,8,10,4,2,1,6,4
115 1 9636,17364,17849 7,6,2
116 1 24,8371,9105,11495,12878,13022,15141,15685,16013,17134,18405,18620,18761,19187,19907 5,2,10,6,3,8,9,3,3,1,7,4,10,7,3
117 1 436,1828,2602,3800,6358,7950,8194,10980,13029,19828,19911 3,8,4,7,9,0,7,10,3,0,9
118 1 1278,6290,6495,7542,8839,10077,11379,11604,13728,13807,14065,14390,14807,16038,16169,16862,17219,18860,19219 2,4,5,10,1,2,5,3,0,9,6,4,6,0,1,9,1,1,5
119 1 4440,4956,5837,7037,7548,10860,11474,11733,12977,15119,16050,18581 6,7,7,3,3,4,7,8,7,7,2,1
120 0 2040,4246,4439,9700,11040,14831,18573,19378,19425,19874 0,8,8,8,9,0,8,2,8,5
121 0 1766,2621,4218,7159,7746,11922,12578,13259,13964,16445 10,3,10,8,0,2,2,8,5,5
122 0 2649,4632,5562,12135,15243,17159,18288,18501,18591,19737 9,2,9,1,10,9,5,8,3,4
123 1 3200,8180,10052,13684,14372 8,4,1,7,4
124 0 309,3556,6548,7549,7998,9057,9375,11203,11341,11830,12651,12698,14479,17916 7,9,7,3,0,8,10,1,10,6,5,10,9,9
125 0 145,4957,6269,7623,7644,7765,7968,8293,9241,10089,14265,14408,17269,17721,19519,19597 0,7,10,3,2,3,7,9,1,7,2,10,4,9,9,9
126 0 4390 10
127 1 3202 9
128 1 1390,1816,6080,6118,6821,10019,14706,15765 4,4,1,6,0,4,4,7
129 0 14992 5
130 1 1213,2731,3185,4363,10290,11172,14550,15848,17736 1,8,3,2,2,4,4,4,2
131 0 6344 6
132 1 3644,10488,14002,15315,17836 0,4,7,5,10
133 1 1613,1990,2022,4636,5973,6300,6888,8125,10060,10228,12363,13068,14867 2,3,0,5,3,0,7,6,1,3,9,3,0
134 0 1056,1770,5527,7007,11281,11708,15259,16957,18426,19871 8,10,2,6,1,1,6,10,6,0
135 0 4194,9890,10820,11378,12717,14736,16825 9,6,0,3,6,5,6
136 1 1895,6070,6230,6988,8786,9370,9740,9835,9996,10694,12566,13283,14351,15041,16220,17247,19417 0,4,9,0,5,1,0,7,8,5,2,6,2,3,4,1,5
137 0 1526,5664,10751,13831,19640 5,1,6,0,4
138 0 3678,6629,8952,9819,10318,13541,15509,16965 7,9,8,8,2,0,10,7
139 0 922,2214,2726,3682,3807,5774,5853,6881,7053,7622,9182,10730,12125,12393,14707,16667,18074 9,3,4,0,3,8,1,6,2,1,5,2,1,0,0,4,7
140 1 2169,9326,10355,10695,17958 1,7,9,7,10
141 1 683,3277,5578,9326,9449,10455,11983,12062,12252,15815,16833,17132,18146,18673 1,3,7,7,2,6,4,2,2,6,2,3,9,2
142 1 5737,7527,10403,14107,17178,18647 9,7,2,1,8,9
143 1 28,1398,5641,5645,5934,7173,7384,8706,9323,9796,9876,14233,16715,17261,17963,18011,19160,19828,19881 8,6,9,7,0,3,0,2,5,1,1,4,3,3,5,2,2,0,10
144 1 4953,5830,5853,6720,8786,11251,13475,14240,14884,15545,17139,18515,19420 10,2,1,7,5,9,9,6,4,7,9,6,5
145 0 1094,2010,3799,5763,6200,8247,8818,9860,10656,12713,16811,18722 4,1,4,1,4,9,0,1,2,5,2,10
146 1 9484,14285 4,0
147 0 6846,15317,18372 9,3,7
148 1 3778,5101,11875,12144,15889 2,6,0,1,3
149 0 894,2215,2688,4475,6421,6772,7837,8649,9500,11550,11590,12599,13153,14427,14913,15163,17880,18680 0,10,4,7,6,3,5,9,5,5,3,0,2,3,9,4,0,10
150 1 1604,6596,10044 1,5,2
151 0 2817,3584,4181,5585,11048,11939,12845,13059,14048,14176,14903,16154,17102,19085,19287 7,0,6,3,10,6,0,3,1,1,2,3,6,2,10
152 1 5965,7391,18466 4,1,3
153 1 3544,3730,3732,6031,6541,6842,7165,7808,9934,10881,11178,12041,14169,14380,14574,16347,16356,17491,19888 6,8,10,7,4,4,6,4,5,7,6,1,6,7,8,10,8,0,5
154 1 963,1438,1952,2732,4440,6459,7279,7343,7839,8672,11231,11807,13992,15678,15836,16786 8,4,8,10,6,7,8,3,5,0,8,0,10,9,8,0
155 1 297,4021,6011,8389,9078,11694,12815,15278,16545,17688,18207,19017 8,1,10,1,10,5,9,2,5,5,9,0
156 1 192,485,2486,4681,6257,6454,6771,6996,9091,9501,12015,13719,13900,14124,14242,14515 7,7,2,2,4,1,10,5,0,9,2,0,2,3,4,2
157 0 943,2221,2840,4361,5126,6701,6831,7124,11930,15129,15213,15548,16708,18293,19747 5,4,10,6,4,1,1,4,6,3,10,7,6,2,9
158 1 624,1592,3065,6911,7194,7848,8207,9480,9936,10112,10492,10798,11271,12747,13887,14778,15071,15890 3,3,5,7,10,9,10,0,7,0,3,4,5,1,10,3,8,10
159 0 3836,4172,4443,4807,4871,6992,7353,10232,11356,12796,13680,15075,17530,17669,19119 5,2,9,2,9,9,10,0,0,8,0,2,9,1,4
160 0 1187,2929,5274,6711,7232,9721,11075,11268,18713,19533 8,1,6,6,8,8,6,2,10,2
